time,latitude,longitude,altitude
1754491201.045075,50.35881328333333,7.540279983333333,226.8
1754491202.0454228,50.35881325,7.54027995,226.8
1754491203.045835,50.35881325,7.540279933333333,226.7
1754491204.0459452,50.358813233333336,7.540279916666667,226.7
1754491205.045332,50.358813233333336,7.5402798833333335,226.7
1754491206.0424082,50.35881325,7.54027985,226.7
1754491207.0469542,50.358813233333336,7.54027985,226.7
1754491208.044706,50.358813233333336,7.540279833333333,226.7
1754491209.0447626,50.35881325,7.540279816666667,226.7
1754491210.0472,50.358813266666665,7.5402798,226.8
1754491211.0444763,50.358813266666665,7.5402798,226.7
1754491212.0433433,50.35881325,7.540279783333333,226.7
1754491213.0456116,50.35881325,7.540279766666667,226.7
1754491214.0419774,50.35881325,7.540279766666667,226.7
1754491215.0435855,50.358813266666665,7.540279733333334,226.7
1754491216.0440867,50.358813266666665,7.540279716666666,226.7
1754491217.045501,50.358813266666665,7.5402797,226.7
1754491218.04446,50.358813266666665,7.540279683333333,226.7
1754491219.0453234,50.358813266666665,7.5402796500000004,226.7
1754491220.0452058,50.358813266666665,7.540279616666667,226.7
1754491221.0436978,50.358813266666665,7.540279583333334,226.7
1754491222.0419366,50.35881325,7.54027955,226.7
1754491223.045296,50.35881325,7.540279516666667,226.7
1754491224.045974,50.35881325,7.5402795000000005,226.7
1754491225.0448952,50.358813233333336,7.540279466666666,226.7
1754491226.0442703,50.358813233333336,7.5402794166666665,226.7
1754491227.0430005,50.358813233333336,7.540279383333333,226.7
1754491228.0461845,50.35881321666667,7.540279333333333,226.7
1754491229.0443876,50.35881321666667,7.540279283333334,226.7
1754491230.0402923,50.3588132,7.5402792666666665,226.7
1754491231.0459752,50.35881318333333,7.540279233333333,226.7
1754491232.0457299,50.35881315,7.540279216666667,226.7
1754491233.0449376,50.35881311666667,7.540279183333333,226.7
1754491234.0454626,50.3588131,7.540279166666666,226.7
1754491235.0424607,50.35881308333333,7.5402791166666665,226.7
1754491236.0461705,50.35881308333333,7.540279083333333,226.7
1754491237.0485892,50.35881306666667,7.54027905,226.7
1754491238.049358,50.35881306666667,7.540279016666666,226.7
1754491239.0453217,50.35881305,7.540279,226.7
1754491240.047269,50.358813033333334,7.540278983333334,226.7
1754491241.0506213,50.358813,7.54027895,226.7
1754491242.0476034,50.35881298333334,7.540278933333333,226.7
1754491243.0469995,50.35881296666667,7.5402789,226.7
1754491244.047522,50.35881295,7.5402789,226.7
1754491245.0460913,50.35881293333333,7.5402789,226.7
1754491246.0456967,50.358812916666665,7.540278883333333,226.7
1754491247.0471756,50.3588129,7.540278866666666,226.7
1754491248.0459049,50.35881286666667,7.54027885,226.7
1754491249.0455902,50.35881285,7.540278833333334,226.7
1754491250.0436723,50.35881285,7.5402788,226.7
1754491251.0449245,50.35881283333333,7.540278783333333,226.7
1754491252.0461175,50.35881281666666,7.540278766666667,226.7
1754491253.0458517,50.35881281666666,7.54027875,226.7
1754491254.042017,50.3588128,7.540278716666666,226.7
1754491255.0444179,50.3588128,7.540278716666666,226.7
1754491256.0431323,50.3588128,7.5402787,226.7
1754491257.0451198,50.358812783333335,7.540278666666667,226.7
1754491258.0458944,50.358812783333335,7.540278683333334,226.7
1754491259.0444443,50.358812783333335,7.54027865,226.7
1754491260.0454965,50.3588128,7.540278633333333,226.7
1754491261.0427353,50.358812783333335,7.540278616666667,226.7
1754491262.0410736,50.358812783333335,7.5402786,226.6
1754491263.0445805,50.35881276666667,7.540278566666666,226.6
1754491264.0441349,50.35881276666667,7.540278533333334,226.6
1754491265.044253,50.35881276666667,7.540278516666667,226.6
1754491266.0489626,50.35881275,7.5402785,226.6
1754491267.0478323,50.35880711666667,7.540273933333333,226.4
1754491268.0439777,50.35880578333333,7.540274583333334,226.1
1754491269.042011,50.35880676666667,7.540274033333334,225.8
1754491270.0422006,50.3588079,7.54027345,225.9
1754491271.0426202,50.35880718333333,7.54027405,225.9
1754491272.041618,50.35880775,7.540273233333333,226.1
1754491273.0426998,50.35880758333333,7.540273866666666,226.2
1754491274.0416768,50.358808333333336,7.5402744833333335,226.2
1754491275.0433238,50.35880891666667,7.540273433333334,226.2
1754491276.0426753,50.3588091,7.5402728833333335,226.2
1754491277.041876,50.35880885,7.540273133333333,226.1
1754491278.04255,50.35880863333333,7.540273466666667,226.0
1754491279.0406883,50.35880813333333,7.5402736,225.9
1754491280.042424,50.35880793333333,7.540273383333333,225.9
1754491281.0430405,50.358807866666666,7.5402732666666665,225.9
1754491282.0418837,50.35880781666667,7.540273166666667,225.9
1754491283.0421314,50.358807766666665,7.5402731,225.9
1754491284.042602,50.35880771666667,7.540273066666667,225.9
1754491285.0456247,50.358807666666664,7.540273016666667,225.9
1754491286.0414367,50.35880761666667,7.540272966666667,225.9
1754491287.0448833,50.35880756666667,7.540272933333333,225.9
1754491288.0459023,50.358807516666666,7.5402729,225.9
1754491289.0491745,50.35879608333333,7.540276016666667,225.9
1754491290.0477576,50.35879261666667,7.5402788,225.9
1754491291.0483918,50.35878318333334,7.5402844,226.1
1754491292.0463269,50.35877611666667,7.5402894499999995,226.0
1754491293.0529628,50.35877068333333,7.540300683333333,225.7
1754491294.0436304,50.358762666666664,7.5403114166666665,225.5
1754491295.0439491,50.35875731666667,7.5403249,225.3
1754491296.0444496,50.358749816666666,7.5403381,225.3
1754491297.045568,50.35874221666667,7.54035065,225.2
1754491298.044727,50.35873633333333,7.540364883333333,225.3
1754491299.0442688,50.358731883333334,7.540380683333334,225.2
1754491300.0469656,50.35872666666667,7.540395316666666,225.3
